# of clients,CPU usage (%),Memory usage (bytes)
381,0,90431488
382,1.6,89796608
383,0,89870336
384,0,89948160
385,0,90038272
386,0,90128384
387,0,90214400
388,0,90312704
389,1.6,90406912
390,0,90497024
391,0,90566656
392,0,90599424
393,0,91181056
394,1.6,91258880
395,0,91324416
396,0,91377664
397,0,91463680
398,1.6,91557888
399,0,91627520
400,0,91709440
401,0,91754496
402,0,91770880
403,0,91435008
404,0,91512832
405,0,91607040
406,0,91697152
407,0,92295168
408,0,92016640
409,0,92041216
410,0,92266496
411,1.5,92291072
412,0,92356608
413,0,92430336
414,0,92471296
415,3.1,92454912
416,0,92549120
417,0,92643328
418,0,92729344
419,1.5,92819456
420,0,92913664
421,0,93011968
422,0,93376512
423,1.5,93388800
424,0,93437952
425,0,93073408
426,0,93155328
427,0,93241344
428,0,93339648
429,0,93433856
430,0,93536256
431,1.6,93671424
432,0,93757440
433,0,93847552
434,0,93921280
435,0,94236672
436,0,93077504
437,0,93167616
438,0,93302784
439,1.6,93343744
440,0,93454336
441,0,93560832
442,0,93757440
443,3.2,93843456
444,0,93949952
445,0,94040064
446,0,93892608
447,0,93982720
448,3.1,94068736
449,0,94175232
450,0,94134272
451,0,94224384
452,4.6,94334976
453,0,94429184
454,0,94806016
455,0,94879744
456,0,94474240
457,0,94564352
458,0,94654464
459,0,94752768
460,0,94855168
461,0,94945280
462,0,95326208
463,0,95338496
464,0,95420416
465,0,95531008
466,0,95137792
467,0,95232000
468,0,95211520
469,1.6,95309824
470,0,95416320
471,0,95526912
472,0,95633408
473,1.6,95744000
474,0,95854592
475,0,96636928
476,0,96645120
477,0,95780864
478,0,95891456
479,0,96120832
480,0,96169984
481,0,96292864
482,0,96399360
483,0,96505856
484,0,96600064
485,0,96710656
486,1.6,96808960
487,0,96784384
488,0,96874496
489,0,96980992
490,3.1,97132544
491,0,97210368
492,0,97140736
493,0,97239040
494,0,97345536
495,0,97476608
496,0,96550912
497,0,96649216
498,1.5,96759808
499,0,96878592
500,0,96985088
501,0,97095680
502,3.2,97275904
503,0,97374208
504,0,97468416
505,0,97566720
506,3.1,96563200
507,0,96632832
508,0,96735232
509,0,96845824
510,0,96944128
511,0,97034240
512,0,97148928
513,0,97263616
514,3.1,97374208
515,0,97484800
516,0,97202176
517,0,97308672
518,0,97476608
519,0,97583104
520,0,97705984
521,0,98205696
522,4.7,98234368
523,0,98299904
524,0,98390016
525,0,98480128
526,0,97935360
527,0,97865728
528,0,98107392
529,0,98217984
530,1.6,98324480
531,0,98430976
532,0,98537472
533,0,98635776
534,0,98742272
535,0,98848768
536,0,98934784
537,0,98492416
538,0,98611200
539,0,98729984
540,0,98840576
541,0,98951168
542,0,99065856
543,1.6,99180544
544,0,99311616
545,0,99430400
546,0,99549184
547,1.5,99336192
548,0,99848192
549,0,99913728
550,0,99987456
551,0,100065280
552,0,100110336
553,0,100229120
554,0,100306944
555,0,100413440
556,3.2,100515840
557,0,99971072
558,0,101838848
559,0,101847040
560,4.8,101863424
561,0,101916672
562,0,101978112
563,0,102039552
564,0,102133760
565,0,102326272
566,0,102359040
567,0,100773888
568,1.6,102543360
569,0,102641664
570,0,102666240
571,0,102703104
572,0,102789120
573,7.9,100814848
574,0,100909056
575,0,101023744
576,0,101113856
577,0,101953536
578,0,101961728
579,0,101539840
580,0,101662720
581,1.5,101797888
582,0,102281216
583,0,100958208
584,0,101076992
585,1.6,101064704
586,0,101208064
587,0,101359616
588,0,101502976
589,0,101687296
590,0,101810176
591,0,101933056
592,0,102055936
593,1.6,101769216
594,0,101875712
595,0,101986304
596,0,102113280
597,0,102232064
598,1.6,102346752
599,0,102699008
600,0,102735872
601,0,102756352
602,0,102866944
603,0,102064128
604,0,102187008
605,0,102301696
606,0,102424576
607,0,102559744
608,0,102678528
609,0,102821888
610,1.6,103514112
611,0,103616512
612,0,103686144
613,0,102776832
614,0,102891520
615,3.1,103014400
616,0,103137280
617,0,103337984
618,0,103464960
619,1.6,103596032
620,0,103673856
621,0,103796736
622,0,103497728
623,1.5,103624704
624,0,103751680
625,0,103878656
626,0,103993344
627,4.7,104103936
628,0,104235008
629,0,104456192
630,0,104648704
631,0,104665088
632,0,105488384
633,0,105488384
634,0,105496576
635,0,105504768
636,1.6,105512960
637,0,105533440
638,0,105541632
639,0,106024960
640,1.6,106024960
641,0,106024960
642,0,104873984
643,0,105009152
644,1.6,105152512
645,0,105291776
646,0,105426944
647,0,105566208
648,0,105689088
649,6.3,104796160
650,0,104906752
651,0,105041920
652,0,105177088
653,0,105308160
654,0,105443328
655,0,106082304
656,0,106098688
657,0,106164224
658,0,106287104
659,0,106598400
660,0,106602496
661,0,106602496
662,0,106606592
663,0,106610688
664,0,106614784
665,0,106618880
666,1.6,106622976
667,0,106627072
668,0,107212800
669,0,107212800
670,0,107212800
671,0,107429888
672,0,107446272
673,0,107446272
674,1.6,107446272
675,0,107446272
676,0,107454464
677,4.6,105865216
678,0,105992192
679,0,106143744
680,0,106274816
681,0,106405888
682,1.5,106536960
683,0,106668032
684,0,107089920
685,0,107249664
686,1.5,107405312
687,0,107003904
688,0,107155456
689,0,107474944
690,3.1,107618304
691,0,108269568
692,0,108367872
693,0,108445696
694,0,108544000
695,0,108675072
696,0,107855872
697,0,107966464
698,3.1,108105728
699,0,108244992
700,0,108380160
701,0,108519424
702,1.6,108662784
703,0,108814336
704,0,108957696
705,0,109096960
706,0,109871104
707,3.2,109871104
708,0,109875200
709,0,109883392
710,0,109899776
711,3.1,109912064
712,0,110645248
713,0,110645248
714,0,110653440
715,0,109633536
716,0,109756416
717,0,109899776
718,0,110051328
719,0,110194688
720,0,110325760
721,0,110469120
722,0,110600192
723,1.6,111210496
724,0,109436928
725,0,110329856
726,0,110456832
727,3.1,110952448
728,0,110993408
729,0,111112192
730,1.5,111792128
731,0,111837184
732,0,111869952
733,0,112013312
734,3.1,112009216
735,0,112009216
736,0,112009216
737,0,112009216
738,0,112091136
739,0,112136192
740,0,112136192
741,0,112193536
742,0,112209920
743,0,110264320
744,0,110395392
745,0,110538752
746,1.6,110678016
747,0,111849472
748,0,111886336
749,0,112009216
750,1.5,112033792
751,0,112103424
752,0,112631808
753,0,112631808
754,4.8,112734208
755,0,112738304
756,0,112738304
757,0,112738304
758,0,112742400
759,0,112750592
760,0,113307648
761,0,113836032
762,0,113836032
763,0,113836032
764,0,113836032
765,0,113836032
766,1.6,113836032
767,0,113836032
768,0,113844224
769,0,113848320
770,1.6,112128000
771,0,112267264
772,0,112467968
773,0,112615424
774,0,112775168
775,3.1,112922624
776,0,113086464
777,0,113172480
778,0,113332224
779,1.6,114327552
780,0,114331648
781,0,114393088
782,0,114446336
783,1.5,114446336
784,0,114450432
785,0,114458624
786,0,114532352
787,0,114663424
788,0,115527680
789,0,115548160
790,0,115552256
791,0,115646464
792,0,115687424
793,0,113876992
794,0,115183616
795,1.6,115335168
796,0,115486720
797,0,115589120
798,3.1,115757056
799,0,115933184
800,0,116068352
801,0,116244480
802,1.6,117207040
803,0,117227520
804,0,117248000
805,0,117379072
806,0,117444608
807,0,117444608
808,0,117501952
809,0,117501952
810,0,117506048
811,0,117506048
812,0,118050816
813,0,118050816
814,0,118050816
815,0,118050816
816,0,118050816
817,0,118050816
818,0,118050816
819,0,118050816
820,0,118050816
821,0,118579200
822,1.5,118583296
823,0,118583296
824,0,118984704
825,0,118984704
826,1.6,118984704
827,0,118984704
828,0,118984704
829,0,118988800
830,1.6,115965952
831,0,116117504
832,0,116260864
833,0,116412416
834,1.6,116551680
835,0,116686848
836,0,116826112
837,0,116957184
838,3.1,117100544
839,0,117968896
840,0,117972992
841,0,117981184
842,0,117981184
843,3.1,117981184
844,0,118099968
845,0,118099968
846,0,118108160
847,1.6,118202368
848,0,119095296
849,0,119095296
850,0,119095296
851,0,119099392
852,0,119201792
853,0,119201792
854,0,119922688
